entity
AFCC
Fourth Medical University
63820部队
1st General Design Department of the China Aerospace Science and Technology Corporation’s First Academy (CALT)
CASC
"The High Power Laser Laboratory, Shanghai"
ECUT
中国人民解放军国防大学
海军士官学校
THU
Beijing Aeronautical Manufacturing Technology Research Institute
Aviation Industry Corporation of China’s (AVIC) Institute 625
“GOSHNIIMASH”
BUCT
海军航空大学
China General Nuclear Power Corporation
中国人民解放军空军指挥学院
PLA Foreign Languages University
JLU
NINT
Beida
PAP Command College
沈阳理工大学
CSCC
SMIC Hong Kong International Company Limited
ITMO University Fellowship & Professorship Program
Nanchang Army Academy
Beihang University
Beijing Power Generating Machinery Institute
China Changfeng Mechanics and Electronics Technology Academy
13th Institute China Aerospace Times Electronics Corporation (CATEC)
Rocket Force Command College
River Talents Plan
Dll
"Aerospace CHUAV Co., Ltd"
Aerosun Corporation
Special Plans with Universities Directly under the Administration of Ministries and Commissions of the Central Government
Subsidy Program for High-Level Study Abroad Talent Returnees
中国人民解放军陆军勤务学院
中南大学
China Shipbuilding Industry Corporation
CAEP
Naval University of Engineering
海军潜艇学院
XTU
西安交通大学
"Inner Mongolia First Machinery Group Co., Ltd."
PLA Air Force Shijiazhuang Flight Academy
Academy of Military Transportation
Unit 63820
East China Institute of Technology
AMMS
Institute of Solid-State Physics of the Academy of Scienes SSSR
Armored Forces Engineering Academy
中国人民解放军陆军步兵学院
中国人民解放军陆军军医大学
Northwest Institute of Nuclear Technology
PAP Officers’ College
大连通信士官学校
装甲兵工程学院
Army Medical University
CASIC Academy of Defense Technology
中国人民警察大学
Peac Institute of Multiscale Science
HPSTAR
武警工程大学
RFEU
ZJU
Thousand Talents Program — Innovative Talents Plan (Short-Term)
中国人民解放军空军西安飞行学院
PLA Army Infantry Academy
Beijing Power Machinery Research Laboratory
"Beijing Jincheng Huanyu Electronics Co., Ltd."
中国人民解放军火箭军研究院
火箭军工程大学
Sun Yat-sen University
CCCG
中国航发
Wuhan Radar Institute
Air Force Research Institute
BESTI
铁道警察学院
China Unicom (Hong Kong) Limited
第四军医大学
中国人民解放军空军航空大学
BUPT
"13th Research Institute, 9th Academy of CASC"
Luoyang University
National Digital Switching System Engineering and Technology Research Center
西电大学
PLA Air Force Command Academy
中国人民解放军空军工程大学
中国航空工业集团有限公司
长春理工大学
Jiangsu University of Science and Technology
Nanchang Aeronautical University
北京大学
Rocket Force Research Institute
北京邮电大学
中国核工业集团有限公司
NJUST
Navy Medical University
"Academy of Military Medical Sciences, Field Blood Transfusion Institute"
China Marine Information Electronics Company Limited
四医大
陆军航空兵学院
Southwest Institute of General Designing and Assembly
Xi’an Research Institute of High Technology
Special Police Academy
University of International Relations
Changjiang Scholars program
Key Support Plan for the Recruitment of Overseas High-Level Cultural and Educational Experts
Beijing Aeronautical Manufacturing Technology Research Institute (a.k.a. AVIC Institute 625)
ChemChina
CRRC
Army Aviation College
"No. 33 Research Institute, Third Academy of CASIC"
中国电科
"Sichuan Zhonghe Import and Export Trade Co., Ltd."
Second Military Medical University
Officers College of the PAP
BAMTRI
Beijing Huahang Radio Measurements Research Institute
China Electronics
Center for High Pressure Science & Technology Advanced Research
Ninth Academy
Tianjin University
Institute of Semiconductor Physics IM A.V. Rzhanov
"Fujian Torch Electron Technology Co., Ltd."
空军通信士官学校
Air Force Xi’an Flight Academy
中国人民解放军陆军边海学院
中国人民解放军陆军工程大学
China Ordnance Industries Group Corporation Limited
HNU
Naval Petty Officer Academy
海军航大
中国人民解放军火箭军士官学校
中国人民解放军火箭军工程大学
天津大学
Qinghua University
Xi’an Technological University
PLA Air Force Command College
空军第二飞行学院
Army Research Institute
Changchun University of Science and Technology
People's Armed Police China Coast Guard Academy
China State Shipbuilding Corporation Limited
九院
PAP Logistics University
NUAA
中国人民公安大学
China Unicom
Aviation University Air Force
China Haiying Electromechanical Technology Academy
973 Program
Dalian Communications NCO Academy
Beijing Computational Science Research Center
Commercial Aircraft Corporation of China
吉林大学
Chinese People Public Security University
浙江大学
Youth Thousand Talents Program
江南社会学院
中国人民解放军海军研究院
Xi’an Research Institute of High-Tech
SCU
PLA Equipment Academy
SPC
Changjiang Scholar Distinguished Professorship
China Railway Construction Corporation Limited
中国航天科工集团有限公司
Ministry of Public Security China People's Police University
南京信息技术研究院
PLA Navy Submarine Academy
PLAIEU
Sun Yat-Sen University
Plan for the Recruitment of Overseas Young Talents in the Cultural and Educational Sectors
中国人民解放军空军军医大学
35 Institute of CASIC’s Third Academy
China Electronics Technology Group Corporation
HIT
北华航天工业学院
西北工业大学
Foreign Youth Talent Recruitment Plan
Shijiazhuang Flight Academy
PLA Army Service Academy
AUAF
中国兵器工业集团公司
Sichuan Haitian New Technology Group Co. Ltd.
Ministry of State Security Administrative Institute
International Academic Masters Campus Travel Plan
"The Institute of Applied Physics and Computational Mathematics, Beijing"
中国人民武装警察指挥学院
Space Engineering University
SPA
"Aviation Industry Corporation of China, Ltd."
"“2071 Moonshot"" Apprenticeship Program"
海军军医大学
"Tactical Missile Corporation, Concern “MPO-Gidropribor”"
Joint Stock Company “State Research Institute of Mechanical Engineering” named after “V.V. Bakhirev”
Thousand Talents Plan
Academy of Military Science
空军预警学院
Army Infantry Academy of PLA
Information Engineering University
National Key Laboratory for Parallel and Distributed Processing
Chang Jiang Scholars Award Program (Young Scholars)
Army Armored Forces Academy
中国人民武装警察部队海警学院
Southwest Institute of Environmental Testing
海军研究院
Naval Aviation University
Chinese Academy of Sciences – Shenyang Institute of Automation
CBC
中国人民解放军陆军装甲兵学院
Dalian Minzu University
杭州电子科技大学
Mabna Institute
Outstanding Technical Talent Recruitment Plan
空军工程大学
Air Force Flight Academy Shijiazhuang
北京化工大学
Second Research Academy of CASIC
Beijing Institute of Space System Engineering
Zhengzhou Information Science and Technology Institute
Changsha Institute of Technology
Rocket Force University of Engineering
Federal State Budgetary Institution of Science P.I.K.A Valiev RAS of the Ministry of Science and Higher Education of Russia
International Cooperative Program for Innovative Talents
Gold Card
空军后勤学院
Institute of Toxicology and Drugs
AECC
Army Engineering University
Zhengzhou Institute of Surveying and Mapping
Rocket Sergeant School
中山大学
Beijing Automation Control Equipment Institute (BACEI)
中国船舶重工集团有限公司
China Ordnance Equipment Group Corporation
Harbin Institute of Technology
People's Armed Police Officers’ College
XATU
